Item;Código;Denominación;Grupo;Clase;Resolución;Estado
19;04221954;CULTIVADORAS EN GENERAL;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
20;04221977;DESCONGELADOR DE PAJUELAS;04 AGRICOLA Y PESQUERO;22 EQUIPO;0004-2010/SBN-GO;ACTIVO
21;04222001;DESGRANADORA MANUAL DE MAIZ;04 AGRICOLA Y PESQUERO;22 EQUIPO;0003-2005/SBN-GO;ACTIVO
22;04222017;DESHIDRATADORA POR ATOMIZACION;04 AGRICOLA Y PESQUERO;22 EQUIPO;0004-2010/SBN-GO;ACTIVO
23;04222033;DESPALILLADORA - TROZADORA DE PLANTAS AROMATICAS;04 AGRICOLA Y PESQUERO;22 EQUIPO;0004-2010/SBN-GO;ACTIVO
24;04222049;DESTRUCTOR ELECTRICO DE INSECTOS;04 AGRICOLA Y PESQUERO;22 EQUIPO;0040-98/SBN;EXCLUIDO
25;04222144;DETERMINADOR DE IMPUREZAS;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
26;04222335;DETERMINADOR DE INFESTACION POR INSECTOS;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
27;04222525;DETERMINADOR DE MUESTRAS;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
28;04222715;ECOSONDA;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
29;04222906;ELEVADOR DE GRANOS;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
30;04223001;ELEVADOR NEUMATICO CON CICLON PARA PLANTAS AROMATICAS;04 AGRICOLA Y PESQUERO;22 EQUIPO;0004-2010/SBN-GO;ACTIVO
31;04223096;EMPACADORA DE ALGODON;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
32;04223191;EPIDIOSCOPE;04 AGRICOLA Y PESQUERO;22 EQUIPO;0090-1999/SBN;ACTIVO
33;04223239;EQUIPO AMAMANTADOR;04 AGRICOLA Y PESQUERO;22 EQUIPO;0006-2006/SBN-GO;ACTIVO
34;04223287;EQUIPO DE AFORO;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
35;04223350;EQUIPO DE INSEMINACION;04 AGRICOLA Y PESQUERO;22 EQUIPO;0090-1999/SBN;ACTIVO
36;04223381;EQUIPO DE LAVADO Y FUMIGACION;04 AGRICOLA Y PESQUERO;22 EQUIPO;0013-2003/SBN-GO;ACTIVO
37;04223413;EQUIPO DE ORDEÃO;04 AGRICOLA Y PESQUERO;22 EQUIPO;0090-1999/SBN;ACTIVO
38;04223477;EQUIPO DE RIEGO POR ASPERSION;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
39;04223667;EQUIPO DE RIEGO POR GOTEO;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
40;04223858;EQUIPO DE RIEGO POR MICRO ASPERSION;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
41;04223953;EQUIPO ELIMINADOR DE ESCAMAS;04 AGRICOLA Y PESQUERO;22 EQUIPO;0004-2010/SBN-GO;ACTIVO
42;04224048;EQUIPO PARA ANALISIS DE SUELOS;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
43;04224143;EQUIPO PARA PESCA ELECTRICA - ELECTROFISHER;04 AGRICOLA Y PESQUERO;22 EQUIPO;0001-2015/SBN-DNR;ACTIVO
44;04224238;ESPOLVOREADOR;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
45;04224429;EVAPORIGRAFO;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
46;04224524;FILTRO DE MANGA;04 AGRICOLA Y PESQUERO;22 EQUIPO;0001-2016/SBN-DNR;ACTIVO
47;04224619;FOTOCARTOGRAFO;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
48;04224810;FUMIGADORAS EN GENERAL;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
49;04225000;GERMINADOR ELECTRICO;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
50;04225190;GERMINADOR TERMOSTATICO;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
51;04225285;HILERADORA;04 AGRICOLA Y PESQUERO;22 EQUIPO;0006-2006/SBN-GO;ACTIVO
52;04225381;HOMOGENIZADOR DE SEMILLA;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
53;04225571;HUMIFICADOR;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
54;04225762;INCUBADORA PARA ANIMALES;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
55;04225857;LAMPARA SUBMARINA;04 AGRICOLA Y PESQUERO;22 EQUIPO;0004-2002/SBN;ACTIVO
56;04225952;LECTOR REFRACTOMETRO DE AZUCARES;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
57;04226047;LIBERADOR ACUSTICO;04 AGRICOLA Y PESQUERO;22 EQUIPO;0004-2010/SBN-GO;ACTIVO
58;04226142;LIMPIADORA DE SEMILLAS;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
59;04226333;MAGNIFICADOR DE SEMILLAS;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
60;04226356;MAQUINA CLASIFICADORA DE CAFE;04 AGRICOLA Y PESQUERO;22 EQUIPO;0001-2015/SBN-DNR;ACTIVO
61;04226380;MAQUINA PARA INJERTO;04 AGRICOLA Y PESQUERO;22 EQUIPO;0004-2010/SBN-GO;ACTIVO
62;04226428;MAQUINA PELADORA DE POLLOS;04 AGRICOLA Y PESQUERO;22 EQUIPO;0006-2006/SBN-GO;ACTIVO
63;04226429;MAQUINA PELADORA DE ANIMALES MENORES;04 AGRICOLA Y PESQUERO;22 EQUIPO;PENDIENTE;ACTIVO
64;04226475;MEZCLADOR HOMOGENIZADOR HORIZONTAL;04 AGRICOLA Y PESQUERO;22 EQUIPO;0004-2010/SBN-GO;ACTIVO
65;04226499;MOTOCULTIVADOR;04 AGRICOLA Y PESQUERO;22 EQUIPO;0001-2015/SBN-DNR;ACTIVO
66;04226523;MOTOFUMIGADORA;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
67;04226618;MOTOGUADAÃA;04 AGRICOLA Y PESQUERO;22 EQUIPO;0016-2007/SBN-GO;ACTIVO
68;04226713;MOTOPULVERIZADOR;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
69;04226904;MOTOR FUERA DE BORDA;04 AGRICOLA Y PESQUERO;22 EQUIPO;0040-98/SBN;EXCLUIDO
70;04227094;MOTOSIERRA;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
71;04227189;NIVELADOR DE SUELOS;04 AGRICOLA Y PESQUERO;22 EQUIPO;0089-2001/SBN;ACTIVO
72;04227205;OREADORA DE CAFE;04 AGRICOLA Y PESQUERO;22 EQUIPO;0001-2015/SBN-DNR;ACTIVO
73;04227221;PERFILADOR DE CORRIENTES MARINAS ACUSTICO DOPPLER - ADCP;04 AGRICOLA Y PESQUERO;22 EQUIPO;0009-2008/SBN-GO;ACTIVO
74;04227253;PERFILADOR DE TEMPERATURA/CONDUCTIVIDAD/PROFUNDIDAD - CTD;04 AGRICOLA Y PESQUERO;22 EQUIPO;0009-2008/SBN-GO;ACTIVO
75;04227285;PICADORA DE CHALA;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
76;04227380;PISTOLA DE SEÃALES;04 AGRICOLA Y PESQUERO;22 EQUIPO;0090-1999/SBN;ACTIVO
77;04227427;POLEA HIDRAULICA;04 AGRICOLA Y PESQUERO;22 EQUIPO;0004-2002/SBN;ACTIVO
78;04227475;RASTRAS EN GENERAL;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
79;04227570;RECIRCULADOR DE AGUA;04 AGRICOLA Y PESQUERO;22 EQUIPO;0090-1999/SBN;ACTIVO
80;04227617;ROLO CUCHILLA;04 AGRICOLA Y PESQUERO;22 EQUIPO;0001-2016/SBN-DNR;ACTIVO
81;04227665;SECADORA DE GRANOS;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
82;04227856;SEGADORA GIRATORIA;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
83;04228046;SELECCIONADORA (OTRAS);04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
84;04228237;SEMBRADORA (OTRAS);04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
85;04228427;SEMBRADORA ABONADORA;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
86;04228617;SEPARADOR DE GRANOS;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
87;04228640;SISTEMA AUTOMATICO DE CONTROL DE ARRASTRE;04 AGRICOLA Y PESQUERO;22 EQUIPO;0009-2008/SBN-GO;ACTIVO
88;04228664;SISTEMA DE DIGESTION POR MICROONDAS;04 AGRICOLA Y PESQUERO;22 EQUIPO;0090-1999/SBN;ACTIVO
89;04228711;SISTEMA DE FILTRACION;04 AGRICOLA Y PESQUERO;22 EQUIPO;0090-1999/SBN;ACTIVO
90;04228758;SISTEMA DE FILTRO DE ARENA;04 AGRICOLA Y PESQUERO;22 EQUIPO;0090-1999/SBN;ACTIVO
91;04228770;SISTEMA DE IDENTIFICACION AUTOMATICA - AIS;04 AGRICOLA Y PESQUERO;22 EQUIPO;0009-2008/SBN-GO;ACTIVO
92;04228776;SISTEMA DE RECIRCULACION DE AGUA PARA CULTIVO DE PECES;04 AGRICOLA Y PESQUERO;22 EQUIPO;0009-2008/SBN-GO;ACTIVO
93;04228777;SISTEMA ACUAPONICO;04 AGRICOLA Y PESQUERO;22 EQUIPO;PENDIENTE;ACTIVO
94;04228783;SISTEMA DE VIDEO INFRARROJO SUBACUATICO;04 AGRICOLA Y PESQUERO;22 EQUIPO;0006-2006/SBN-GO;ACTIVO
95;04228808;SONDA ELECTRONICA;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
96;04228998;SONDA PARA POZO;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
97;04229188;SURCADOR;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
98;04229283;TANQUE PARA CALENTAR MELAZA;04 AGRICOLA Y PESQUERO;22 EQUIPO;0004-2002/SBN;ACTIVO
99;04229379;TELESONDA;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
100;04229474;TRAMPA DE SEDIMENTO - MUESTREADOR DE SEDIMENTOS;04 AGRICOLA Y PESQUERO;22 EQUIPO;0004-2010/SBN-GO;ACTIVO
101;04229569;TRATADORA DE SEMILLAS;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
102;04229760;TRILLADORA;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
103;04229950;TRILLADORA DESGRANADORA;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
104;04229962;TRITURADORA FORESTAL;04 AGRICOLA Y PESQUERO;22 EQUIPO;0013-2003/SBN-GO;ACTIVO
105;04229965;TUNEL DE NATACION RESPIROMETRO;04 AGRICOLA Y PESQUERO;22 EQUIPO;0001-2015/SBN-DNR;ACTIVO
106;04229968;VAGINA ARTIFICIAL DE VACUNO;04 AGRICOLA Y PESQUERO;22 EQUIPO;0006-2006/SBN-GO;ACTIVO
107;04229971;VEHICULO SUBMARINO A CONTROL REMOTO;04 AGRICOLA Y PESQUERO;22 EQUIPO;0004-2010/SBN-GO;ACTIVO
108;04229974;VETEADOR DE GRANOS;04 AGRICOLA Y PESQUERO;22 EQUIPO;0130-2000/SBN;ACTIVO
109;04640050;BASE PARA EQUIPO METEOROLOGICO;04 AGRICOLA Y PESQUERO;64 MOBILIARIO;0158-97/SBN;ACTIVO
110;04640500;BOTE DE FIBRA DE VIDRIO;04 AGRICOLA Y PESQUERO;64 MOBILIARIO;0009-2008/SBN-GO;EXCLUIDO
111;04640950;BOTE DE MADERA;04 AGRICOLA Y PESQUERO;64 MOBILIARIO;0009-2008/SBN-GO;EXCLUIDO
112;04641850;BOTE DE METAL;04 AGRICOLA Y PESQUERO;64 MOBILIARIO;0009-2008/SBN-GO;EXCLUIDO
113;04642000;BOTE INFLABLE;04 AGRICOLA Y PESQUERO;64 MOBILIARIO;0009-2008/SBN-GO;EXCLUIDO
114;04642150;BOTELLA NYSKIN;04 AGRICOLA Y PESQUERO;64 MOBILIARIO;0090-1999/SBN;ACTIVO
115;04642450;CAMARA DE FUMIGACION;04 AGRICOLA Y PESQUERO;64 MOBILIARIO;0009-2008/SBN-GO;EXCLUIDO
116;04642525;ESTANTE DE ACERO INOXIDABLE;04 AGRICOLA Y PESQUERO;64 MOBILIARIO;0001-2015/SBN-DNR;ACTIVO
117;04642600;ESTANTE DE ALUMINIO;04 AGRICOLA Y PESQUERO;64 MOBILIARIO;0002-2012/SBN-DNR;ACTIVO
118;04642750;JUEGO DE TAMICES;04 AGRICOLA Y PESQUERO;64 MOBILIARIO;0158-97/SBN;ACTIVO
119;04643650;MIRA TOPOGRAFICA;04 AGRICOLA Y PESQUERO;64 MOBILIARIO;0158-97/SBN;ACTIVO
120;04644550;MUESTRADOR DE GRANOS;04 AGRICOLA Y PESQUERO;64 MOBILIARIO;0158-97/SBN;ACTIVO
121;04645450;MUESTREADOR DE AGUA PARA POZO;04 AGRICOLA Y PESQUERO;64 MOBILIARIO;0158-97/SBN;ACTIVO
122;04646125;MUESTREADOR DE PLANCTON;04 AGRICOLA Y PESQUERO;64 MOBILIARIO;0002-2012/SBN-DNR;ACTIVO
123;04646350;MUESTRADOR HIDROLOGICO;04 AGRICOLA Y PESQUERO;64 MOBILIARIO;0158-97/SBN;ACTIVO
124;04646800;ROSETA MUESTREADORA DE AGUA;04 AGRICOLA Y PESQUERO;64 MOBILIARIO;0090-1999/SBN;ACTIVO
125;04647250;SOMBRILLA DE TERMOMETRO;04 AGRICOLA Y PESQUERO;64 MOBILIARIO;0158-97/SBN;ACTIVO
126;04648150;TANQUE CRIOGENICO DE METAL;04 AGRICOLA Y PESQUERO;64 MOBILIARIO;0158-97/SBN;ACTIVO
127;04648262;TANQUE DE ACERO INOXIDABLE (MAYOR A 1/4 UIT);04 AGRICOLA Y PESQUERO;64 MOBILIARIO;0004-2010/SBN-GO;ACTIVO
128;04648375;TANQUE DE AIREACION;04 AGRICOLA Y PESQUERO;64 MOBILIARIO;0004-2010/SBN-GO;ACTIVO
129;04648600;TANQUE METALICO PARA TRANSPORTE DE ALEVINOS;04 AGRICOLA Y PESQUERO;64 MOBILIARIO;0090-1999/SBN;ACTIVO
130;04649050;TRAMPA DE ESPORA ELECTRICA;04 AGRICOLA Y PESQUERO;64 MOBILIARIO;0158-97/SBN;ACTIVO
131;04649950;VELETA;04 AGRICOLA Y PESQUERO;64 MOBILIARIO;0158-97/SBN;ACTIVO
132;11220001;UNIDAD DE VENTILACION DE EQUIPOS DE MEDICION;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;003-2018/SBN-DNR;ACTIVO
133;11220025;AEROTERMO DISIPADOR DE CALOR;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0001-2016/SBN-DNR;ACTIVO
134;11220050;ALIMENTADOR DE AIRE SECO;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0158-97/SBN;ACTIVO
135;11220248;ARMARIO DE METAL PARA CONSERVACION;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0089-2001/SBN;ACTIVO
136;11220347;BAÃO CIRCULANTE;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0003-2005/SBN-GO;ACTIVO
137;11220396;BAÃO TERMOSTATICO;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0001-2015/SBN-DNR;ACTIVO
138;11220446;CALEFACTOR;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0158-97/SBN;ACTIVO
139;11220512;CALEFON;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0022-2011/SBN-DGPE;ACTIVO
140;11220578;CAMARA DE CADAVERES;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0090-1999/SBN;ACTIVO
141;11220710;CAMARA DE REFRIGERACION;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0090-1999/SBN;ACTIVO
142;11220842;CAMARA FRIGORIFICA;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0158-97/SBN;ACTIVO
143;11221040;CAMARA FRIGORIFICA CON PUERTA DE VIDRIO;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0089-2001/SBN;ACTIVO
144;11221139;CLIMATIZADOR;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0022-2011/SBN-DGPE;ACTIVO
145;11221238;COMPRESOR DOMESTICO;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0158-97/SBN;ACTIVO
146;11221634;COMPRESOR INDUSTRIAL;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0158-97/SBN;ACTIVO
147;11221678;CONGELADOR (OTROS);11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0090-1999/SBN;ACTIVO
148;11221722;CONGELADOR CONSERVADOR DE ORGANOS;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0090-1999/SBN;ACTIVO
149;11221766;CONGELADOR DE DIOXIDO DE CARBONO (CO2);11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0090-1999/SBN;ACTIVO
150;11221810;CONGELADOR DE GLOBULOS ROJOS;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0090-1999/SBN;ACTIVO
151;11221854;CONGELADOR DE NITROGENO;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0090-1999/SBN;ACTIVO
152;11221898;CONGELADOR DE PLASMA;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0090-1999/SBN;ACTIVO
153;11221920;CONGELADOR FOTOVOLTAICO;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0025-2009/SBN-GO;ACTIVO
154;11221942;CONGELADOR PARA REACTIVOS;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0090-1999/SBN;ACTIVO
155;11221986;CONGELADOR PARA SANGRE;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0090-1999/SBN;ACTIVO
156;11222030;CONGELADORA ELECTRICA HORIZONTAL;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0158-97/SBN;ACTIVO
157;11222426;CONGELADORA ELECTRICA VERTICAL;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0158-97/SBN;ACTIVO
158;11222624;CONSERVADOR PARA SANGRE;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0090-1999/SBN;ACTIVO
159;11222673;CORTINA DE AIRE;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0130-2000/SBN;ACTIVO
160;11222723;CORTINA DE ENFRIAMIENTO;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0130-2000/SBN;ACTIVO
161;11222747;DESHUMEDECEDOR;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0015-2004/SBN-GO;ACTIVO
162;11222822;DESHUMEDECEDOR PARA AMBIENTE TIPO COMERCIAL;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0158-97/SBN;ACTIVO
163;11223218;DESHUMEDECEDOR PARA AMBIENTE TIPO INDUSTRIAL;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0158-97/SBN;ACTIVO
164;11223317;ENFRIADOR DE AIRE;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0002-2012/SBN-DNR;ACTIVO
165;11223366;EQUIPO DE AIRE ACONDICIONADO DE PRECISION;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0002-2012/SBN-DNR;ACTIVO
166;11223416;EQUIPO DE CONGELACION DE EMBRIONES;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0016-2007/SBN-GO;ACTIVO
167;11223465;EQUIPO DE REFRIGERACION PARA MAGNETO;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0001-2015/SBN-DNR;ACTIVO
168;11223515;EQUIPO PARA AIRE ACONDICIONADO PORTATIL;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0025-2009/SBN-GO;ACTIVO
169;11223614;EQUIPO PARA AIRE ACONDICIONADO TIPO DOMESTICO;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0158-97/SBN;ACTIVO
170;11224010;EQUIPO PARA AIRE ACONDICIONADO TIPO INDUSTRIAL;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0158-97/SBN;ACTIVO
171;11224208;EQUIPO PURIFICADOR DE AMBIENTE;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0040-98/SBN;ACTIVO
172;11224307;ESTERILIZADOR DE AIRE;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0016-2007/SBN-GO;ACTIVO
173;11224406;EVAPORADOR;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0158-97/SBN;ACTIVO
174;11224802;EXTRACTOR DE AIRE;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0158-97/SBN;ACTIVO
175;11225198;EXTRACTOR PARA VAHOS INDUSTRIAL;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0158-97/SBN;ACTIVO
176;11225214;FRIGOBAR;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0022-2011/SBN-DGPE;ACTIVO
177;11225231;HUMEDECEDOR;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0130-2000/SBN;ACTIVO
178;11225264;HUMIDIFICADOR;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0090-1999/SBN;ACTIVO
179;11225330;HUMIDIFICADOR ULTRASONICO;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0040-98/SBN;ACTIVO
180;11225396;INYECTOR DE AIRE;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0090-1999/SBN;ACTIVO
181;11225462;IONIZADOR DE AMBIENTE;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0040-98/SBN;ACTIVO
182;11225506;MESA PARA ENFRIAMIENTO DE AGUA;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0090-1999/SBN;ACTIVO
183;11225550;PLANCHA DE ENFRIAMIENTO;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0090-1999/SBN;ACTIVO
184;11225557;REFRIGERADOR CONGELADOR FOTOVOLTAICO;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0025-2009/SBN-GO;ACTIVO
185;11225564;REFRIGERADOR FOTOVOLTAICO;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0025-2009/SBN-GO;ACTIVO
186;11225572;REFRIGERADOR PARA SANGRE;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0090-1999/SBN;ACTIVO
187;11225594;REFRIGERADORA A GAS;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0158-97/SBN;ACTIVO
188;11225990;REFRIGERADORA A KEROSENE;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0158-97/SBN;ACTIVO
189;11226039;REFRIGERADORA CONGELADORA;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0001-2015/SBN-DNR;ACTIVO
190;11226089;REFRIGERADORA CONGELADORA PORTATIL;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0001-2015/SBN-DNR;ACTIVO
191;11226188;REFRIGERADORA CONSERVADORA DE MEDICAMENTOS;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0025-2009/SBN-GO;ACTIVO
192;11226386;REFRIGERADORA ELECTRICA DOMESTICA;11 AIRE ACONDICIONADO Y REFRIGERACION;22 EQUIPO;0158-97/SBN;ACTIVO
