"id";"code";"description";"goods_catalog_id";"warehouse_id";"trademark";"model";"type";"color";"series";"state_of_conservation";"date_acquired";"value";"observations";"is_active";"created_at";"updated_at"
65;"65643817";MAQUINA COMPAGINADORA;3669;16;;;;yellow;#fbd6f1;A;"2019-09-05";359.7;MED;0;"2022-11-30 02:41:06";"2023-10-17 02:41:06"
66;"76647984";TACOMETRO OPTICO;2266;12;;;;silver;#a98565;B;"2020-07-28";310.4;MED;0;"2023-09-06 02:41:06";"2023-10-18 02:41:06"
67;"56565760";MUESTREADOR DE AIRE DE ALTO VOLUMEN DE FLUJO;2125;3;;;;fuchsia;#92fb0b;B;"2023-04-01";360.3;MED;1;"2023-03-06 02:41:06";"2023-10-10 02:41:06"
68;"76035843";EQUIPO GAMMA PARA RADIOGRAFIA;2532;26;;;;yellow;#18efbe;B;"2022-11-18";337.1;MED;0;"2023-08-15 02:41:06";"2023-10-10 02:41:06"
69;"57127934";DISTRIBUIDOR DE POTENCIA;4354;2;;;;olive;#4ac222;A;"2020-06-02";89.6;MED;0;"2023-05-14 02:41:06";"2023-10-17 02:41:06"
70;"80459144";GRABADORA DE DISCO BLU-RAY;4476;1;;;;white;#136017;A;"2023-01-23";123.5;MED;0;"2022-10-25 02:41:06";"2023-10-08 02:41:06"
71;"78600673";SILO DE ACERO INOXIDABLE;3388;10;;;;black;#8bd42f;A;"2021-07-21";469.5;MED;1;"2023-08-04 02:41:06";"2023-10-18 02:41:06"
72;"68881124";MAQUINA DE ESCRIBIR MECANICA;3673;9;;;;gray;#35f3ce;B;"2020-02-19";82.8;MED;0;"2023-09-07 02:41:06";"2023-10-15 02:41:06"
73;"20960747";GRUA TELESCOPICA;2804;22;;;;blue;#b18c66;A;"2021-03-27";42.5;MED;1;"2023-07-04 02:41:06";"2023-10-18 02:41:06"
74;"77272026";CAFETERA (MAYOR A 1/4 UIT);278;6;;;;purple;#c6d23b;B;"2021-02-20";209.0;MED;1;"2023-01-26 02:41:06";"2023-10-14 02:41:06"
75;"68431603";EQUIPO DE BETATERAPIA;967;18;;;;black;#e65139;A;"2019-05-20";280.2;MED;0;"2022-10-26 02:41:06";"2023-10-15 02:41:06"
76;"80601872";CARPA DE OXIGENO PEDIATRICO;1585;17;;;;aqua;#e5867e;B;"2022-08-24";351.4;MED;1;"2023-09-08 02:41:06";"2023-10-10 02:41:06"
77;"25177563";TIRFOR;3315;24;;;;blue;#674dbf;A;"2019-05-31";427.2;MED;0;"2023-01-17 02:41:06";"2023-10-17 02:41:06"
78;"20287407";EQUIPO DE REHABILITACION COGNITIVA;2522;21;;;;aqua;#9f8d6b;A;"2020-06-21";150.5;MED;0;"2023-07-27 02:41:06";"2023-10-16 02:41:06"
79;"62207332";TERMO PARA TRANSPORTE DE BIOLOGICOS Y VACUNAS;1689;25;;;;navy;#13d846;C;"2022-01-10";474.8;MED;1;"2022-09-30 02:41:06";"2023-10-17 02:41:06"
80;"27866258";ANALIZADOR DE COMUNICACION DIGITAL;4234;18;;;;white;#6ae495;C;"2021-07-25";271.7;MED;0;"2023-02-01 02:41:06";"2023-10-08 02:41:06"
81;"57599382";VERTIX;1537;19;;;;gray;#8f3a6b;B;"2020-05-11";449.3;MED;1;"2023-09-06 02:41:06";"2023-10-16 02:41:06"
82;"43676229";DEMODULADOR DIGITAL;4339;30;;;;white;#222529;A;"2019-08-06";188.7;MED;1;"2023-03-07 02:41:06";"2023-10-10 02:41:06"
83;"49383043";GUILLOTINA;3663;9;;;;purple;#921511;A;"2023-09-12";153.3;MED;0;"2022-10-16 02:41:06";"2023-10-16 02:41:06"
84;"43512793";COMPACTADOR;2788;26;;;;gray;#ed15ca;A;"2022-10-13";216.2;MED;0;"2022-12-03 02:41:06";"2023-10-08 02:41:06"
85;"86562837";MESA DE NOCHE DE MADERA - VELADOR DE MADERA;1623;13;;;;fuchsia;#e72f1a;A;"2023-01-13";98.5;MED;0;"2022-11-03 02:41:06";"2023-10-19 02:41:06"
86;"42213481";MEDIDOR DE RUGOSIDAD;2090;15;;;;navy;#ce1fd4;A;"2022-10-08";377.2;MED;0;"2023-08-15 02:41:06";"2023-10-11 02:41:06"
87;"53395572";TEODOLITO LASER;2283;7;;;;white;#546aba;A;"2021-10-16";243.5;MED;0;"2023-01-15 02:41:06";"2023-10-12 02:41:06"
88;"41468257";MAQUINA ELASTIQUERA;3128;2;;;;teal;#23bf71;A;"2021-10-12";86.5;MED;0;"2023-05-08 02:41:06";"2023-10-10 02:41:06"
89;"53374917";PUERTA DE BOVEDA;3384;21;;;;blue;#6e35a4;B;"2022-03-29";290.3;MED;0;"2023-07-16 02:41:06";"2023-10-09 02:41:06"
90;"27704464";BOMBA DE PRESION;10;27;;;;purple;#4b5b53;A;"2023-04-24";172.5;MED;0;"2023-06-28 02:41:06";"2023-10-12 02:41:06"
91;"63604608";CAMARA PARA ANALIZAR GASES ARTERIALES;837;24;;;;purple;#f38e45;A;"2022-05-16";84.7;MED;0;"2023-05-27 02:41:06";"2023-10-11 02:41:06"
92;"26236463";EXPLOSIMETRO - INDICADOR DE GAS COMBUSTIBLE;2002;9;;;;aqua;#ed54d6;A;"2021-02-14";341.3;MED;1;"2023-02-09 02:41:06";"2023-10-13 02:41:06"
93;"41134589";SILLA DE RUEDAS METALICA;1675;11;;;;navy;#9f6bed;B;"2020-01-20";78.5;MED;0;"2023-05-17 02:41:06";"2023-10-13 02:41:06"
94;"89156227";EXOFTALMOMETRO;2001;7;;;;white;#106fff;A;"2020-09-20";369.4;MED;0;"2023-02-18 02:41:06";"2023-10-16 02:41:06"
95;"45702211";ESQUINERO DE MELAMINA;3819;27;;;;gray;#7f7e4a;B;"2020-02-27";236.1;MED;0;"2023-06-28 02:41:06";"2023-10-13 02:41:06"
96;"52128164";SISTEMA DE VIDEO PARA BRONCOFIBROSCOPIO;1467;21;;;;green;#ee4443;A;"2019-11-26";28.1;MED;1;"2023-09-06 02:41:06";"2023-10-18 02:41:06"
97;"85728695";COAGULADOR ENDOSCOPICO;867;28;;;;lime;#531feb;A;"2023-09-11";469.6;MED;1;"2022-10-14 02:41:06";"2023-10-17 02:41:06"
98;"11869840";CONSERVADOR PARA SANGRE;159;17;;;;gray;#be14f2;C;"2019-11-25";121.8;MED;0;"2023-03-03 02:41:06";"2023-10-08 02:41:06"
99;"19860084";MIMEOGRAFO;3684;25;;;;maroon;#060175;C;"2021-07-20";169.1;MED;1;"2023-01-06 02:41:06";"2023-10-09 02:41:06"
100;"15940360";SILLON MASAJEADOR PARA PEDICURA;265;5;;;;purple;#7bbc83;A;"2021-09-16";491.4;MED;0;"2023-02-07 02:41:06";"2023-10-08 02:41:06"
101;"47634922";SAGRARIO;602;22;;;;white;#6dc45a;A;"2020-11-14";355.4;MED;1;"2023-01-16 02:41:06";"2023-10-13 02:41:06"
102;"85064866";GABINETE DE METAL;3837;1;;;;black;#b7b211;B;"2021-06-25";334.5;MED;0;"2023-05-21 02:41:06";"2023-10-14 02:41:06"
103;"66685692";MESITA LATERAL DE MELAMINA;3883;9;;;;teal;#5fd6ae;B;"2020-09-29";48.4;MED;1;"2023-09-07 02:41:06";"2023-10-09 02:41:06"
104;"26547460";CAMARA DE VIDEO DIGITAL CON DISQUETERA;4290;22;;;;purple;#806196;C;"2021-06-24";469.9;MED;0;"2023-05-17 02:41:06";"2023-10-16 02:41:06"
105;"87059416";ANALIZADOR CARDIOLOGICO COMPUTARIZADO;729;7;;;;fuchsia;#1e3109;B;"2022-09-16";365.4;MED;1;"2023-05-15 02:41:06";"2023-10-11 02:41:06"
106;"79345242";BORRADOR DE EPROM;625;13;;;;black;#f92d1b;A;"2021-01-17";64.2;MED;1;"2023-04-10 02:41:06";"2023-10-19 02:41:06"
107;"86211769";MEDIDOR DE TASA DE ERROR DE UNIDAD DE RECEPCION;4528;12;;;;lime;#805c87;A;"2021-02-19";80.6;MED;1;"2022-12-03 02:41:06";"2023-10-18 02:41:06"
108;"76784212";TENSADOR MECANICO;3314;5;;;;gray;#48e562;B;"2022-04-20";335.0;MED;0;"2023-03-07 02:41:06";"2023-10-17 02:41:06"
109;"67067502";PERFORADORA DE TARJETAS;3694;19;;;;olive;#125800;A;"2020-07-19";133.0;MED;0;"2022-12-15 02:41:06";"2023-10-12 02:41:06"
110;"13878832";CASILLERO DE MADERA;3789;11;;;;yellow;#ad47c4;B;"2020-08-06";463.6;MED;1;"2023-04-03 02:41:06";"2023-10-16 02:41:06"
111;"63993698";LECTORA DE TARJETA CON CODIGO DE BARRA;3568;23;;;;lime;#5a0784;B;"2019-02-27";187.2;MED;0;"2022-11-15 02:41:06";"2023-10-19 02:41:06"
112;"38267206";NAVE DE CARGA GASERA;3451;4;;;;navy;#2cc630;A;"2020-04-23";491.7;MED;1;"2022-11-13 02:41:06";"2023-10-16 02:41:06"
113;"83939076";CARRO DE MADERA TRANSPORTADOR;3786;22;;;;purple;#13b904;B;"2019-07-07";97.0;MED;0;"2023-03-09 02:41:06";"2023-10-18 02:41:06"
114;"83228290";TRIMOTO ELECTRICA;3466;19;;;;white;#6bfa25;A;"2020-11-08";237.3;MED;0;"2022-10-31 02:41:06";"2023-10-10 02:41:06"
115;"19719859";MODULO DE MELAMINA PARA APRENDIZAJE DE IDIOMAS;3894;17;;;;navy;#52c3f1;A;"2021-08-18";123.4;MED;0;"2023-02-06 02:41:06";"2023-10-17 02:41:06"
116;"29825824";ELECTROBISTURI;932;20;;;;black;#35a29c;B;"2023-10-18";42.1;MED;0;"2023-01-21 02:41:06";"2023-10-15 02:41:06"
117;"57097751";MAQUINA PERFORADORA;3207;5;;;;gray;#6b32d5;A;"2021-02-17";227.8;MED;0;"2023-03-24 02:41:06";"2023-10-15 02:41:06"
118;"48847819";EQUIPO ESFINGOLNANOMETRO;1958;18;;;;black;#7e8aa0;C;"2020-06-23";49.5;MED;0;"2023-06-11 02:41:06";"2023-10-13 02:41:06"
119;"44305362";PULVERIZADOR ELECTRICO;1395;6;;;;gray;#1d4e8f;C;"2019-12-25";36.9;MED;0;"2023-06-13 02:41:06";"2023-10-11 02:41:06"
120;"86914224";FILTRO PRENSA;3010;17;;;;yellow;#731916;C;"2019-07-09";16.6;MED;0;"2023-01-07 02:41:06";"2023-10-17 02:41:06"
121;"63601786";CORTADORA DE MOSAICOS;2962;19;;;;black;#a3e379;C;"2020-03-27";79.4;MED;0;"2023-06-05 02:41:06";"2023-10-09 02:41:06"
122;"78716745";SENSOR BAROMETRICO;2234;7;;;;navy;#71a73c;B;"2023-01-06";123.0;MED;1;"2022-12-09 02:41:06";"2023-10-10 02:41:06"
123;"83274518";MOCEÃAS DE CAÃA;490;2;;;;white;#eb2c84;A;"2022-04-15";89.8;MED;1;"2023-01-19 02:41:06";"2023-10-08 02:41:06"
124;"19600265";TABLERO PARA BALONCESTO MOVIL;4156;16;;;;maroon;#ee887a;A;"2022-08-08";302.6;MED;0;"2023-08-09 02:41:06";"2023-10-15 02:41:06"
125;"22005240";MANIQUI GERIATRICO PARA CUIDADO DEL PACIENTE;1247;26;;;;lime;#656a85;B;"2020-04-07";204.8;MED;0;"2023-06-24 02:41:06";"2023-10-11 02:41:06"
126;"13836376";GRIFO FLOTANTE;3436;6;;;;purple;#ee1384;B;"2023-07-05";150.9;MED;1;"2022-09-20 02:41:06";"2023-10-19 02:41:06"
127;"27725010";CORRECTOR BASE TIEMPO - T.B.C.;4329;1;;;;navy;#829870;B;"2020-06-11";305.6;MED;1;"2023-01-05 02:41:06";"2023-10-14 02:41:06"
128;"36661794";PRECINTADORA;2658;1;;;;yellow;#d5a91b;A;"2020-05-29";463.0;MED;0;"2023-01-27 02:41:06";"2023-10-10 02:41:06"
129;"29043413";MAQUINA REENTINTADORA DE CARTUCHOS Y CINTAS;3220;15;;;;black;#3f1050;A;"2023-06-01";82.9;MED;0;"2023-02-16 02:41:06";"2023-10-13 02:41:06"
130;"54584302";VIDEO POLISOMNOGRAFIA;1548;5;;;;teal;#0cd58c;A;"2021-01-24";192.2;MED;1;"2022-12-11 02:41:06";"2023-10-17 02:41:06"
131;"44314004";TRITURADORA FORESTAL;105;10;;;;black;#03b88e;C;"2020-05-16";478.7;MED;0;"2022-10-24 02:41:06";"2023-10-09 02:41:06"
132;"71739073";ANFORA DE METAL PARA SORTEO;3724;12;;;;navy;#a75f4b;A;"2021-04-20";237.9;MED;0;"2023-05-17 02:41:06";"2023-10-19 02:41:06"
133;"29930337";GRUA FLOTANTE;2799;18;;;;silver;#0ea877;A;"2023-02-14";203.0;MED;0;"2022-09-22 02:41:06";"2023-10-12 02:41:06"
134;"78485466";ANALIZADOR DE NERVIO OPTICO;740;3;;;;black;#8dd362;A;"2020-10-14";470.8;MED;0;"2023-08-13 02:41:06";"2023-10-15 02:41:06"
135;"35904976";EQUIPO DE PROSPECCION MAGNETOTELURICA;1951;16;;;;green;#1e2194;A;"2023-09-30";102.5;MED;1;"2022-10-04 02:41:06";"2023-10-08 02:41:06"
136;"11926827";CARRITO ANTICUCHERO;365;24;;;;gray;#84a517;B;"2020-04-30";45.2;MED;0;"2022-09-30 02:41:06";"2023-10-16 02:41:06"
137;"31955410";TABLERO DIGITALIZADOR ELECTRONICO;3967;28;;;;olive;#d8a702;B;"2021-04-17";409.9;MED;1;"2023-01-08 02:41:06";"2023-10-13 02:41:06"
138;"52201516";ORGANO ELECTROMECANICO;496;3;;;;maroon;#c1b29f;B;"2020-09-10";496.1;MED;0;"2022-09-22 02:41:06";"2023-10-12 02:41:06"
139;"33372566";LUPA (MAYOR A 1/4 UIT);658;2;;;;gray;#ad7fad;A;"2020-06-19";436.9;MED;1;"2023-07-25 02:41:06";"2023-10-19 02:41:06"
140;"64843759";FILTRO DE MANGA;47;18;;;;maroon;#a34446;A;"2023-03-20";111.0;MED;0;"2023-08-19 02:41:06";"2023-10-12 02:41:06"
141;"64339523";MOLDEADORA DE BORDES Y PLIEGUES;3689;20;;;;aqua;#18668d;A;"2019-02-18";206.0;MED;0;"2022-10-17 02:41:06";"2023-10-08 02:41:06"
142;"71789967";SILLA GIRATORIA DE METAL;3945;2;;;;blue;#eb0043;B;"2023-09-30";234.7;MED;1;"2023-03-06 02:41:06";"2023-10-08 02:41:06"
143;"13035086";LAMPARA DE ESPECTRO COMPLETO;656;3;;;;fuchsia;#3cfb35;A;"2023-01-18";172.7;MED;1;"2023-06-27 02:41:06";"2023-10-13 02:41:06"
144;"40966997";CONTADOR ELECTRONICO DE BILLETES;3640;13;;;;white;#ba2307;C;"2022-07-29";211.2;MED;1;"2023-09-07 02:41:06";"2023-10-09 02:41:06"
145;"19269854";ROCIOGRAFO;2228;28;;;;purple;#6466e2;C;"2021-02-14";118.6;MED;0;"2023-09-10 02:41:06";"2023-10-13 02:41:06"
146;"48873947";MAQUINA SEPARADORA DE ESPINAS;3228;22;;;;navy;#c0b83b;A;"2021-02-25";242.8;MED;1;"2023-04-24 02:41:06";"2023-10-08 02:41:06"
147;"61234768";DETERMINADOR DE INFESTACION POR INSECTOS;27;29;;;;olive;#b05448;A;"2022-03-17";400.6;MED;1;"2022-09-24 02:41:06";"2023-10-16 02:41:06"
148;"19768298";DECODIFICADOR PARA LECTURA DE TONO;4336;2;;;;gray;#769886;B;"2022-12-21";199.4;MED;1;"2023-03-05 02:41:06";"2023-10-17 02:41:06"
149;"55620455";SOPORTE METALICO RODANTE PORTA OLLA UROLOGICA;1685;18;;;;lime;#35e8e0;A;"2021-12-08";431.6;MED;0;"2023-05-15 02:41:06";"2023-10-14 02:41:06"
150;"83677118";ANALIZADOR DE AMBIENTE;1735;15;;;;gray;#9d1430;A;"2022-07-09";301.0;MED;1;"2023-01-14 02:41:06";"2023-10-10 02:41:06"
151;"20534922";VINAJERA (MAYOR A 1/4 UIT);609;2;;;;green;#ed0c7d;C;"2021-06-01";30.5;MED;1;"2022-10-26 02:41:06";"2023-10-13 02:41:06"
